id,name,price,description
1,Infiniti,459.6,Organic bandwidth-monitored project
2,Ford,7916.34,Operative asynchronous strategy
3,BMW,3223.4,Operative foreground forecast
4,Subaru,9688.19,Customer-focused static strategy
5,Hyundai,3179.9,Cross-platform composite throughput
6,Mazda,4405.55,Assimilated static utilisation
7,Toyota,1897.98,Multi-channelled attitude-oriented array
8,Ford,3957.99,Optional eco-centric analyzer
9,Pontiac,9476.04,Advanced uniform ability
10,Hyundai,8002.08,Multi-channelled mobile encoding
11,Saab,2382.78,De-engineered non-volatile knowledge user
12,Suzuki,8267.64,Sharable static synergy
13,GMC,6641.78,Versatile value-added methodology
14,Maserati,1404.17,Function-based foreground analyzer
15,Bentley,9797.57,Intuitive multi-tasking array
16,Volkswagen,7311.55,Customer-focused exuding ability
17,Mitsubishi,4562.99,Intuitive holistic support
18,Oldsmobile,2719.89,Pre-emptive directional moratorium
19,Rolls-Royce,708.53,Expanded regional standardization
20,Nissan,4210.22,Quality-focused systematic complexity
21,Acura,8375.1,Progressive user-facing product
22,Land Rover,6927.78,Adaptive holistic conglomeration
23,Land Rover,6069.67,Focused bottom-line algorithm
24,BMW,6429.02,Versatile multimedia secured line
25,Mercedes-Benz,2974.9,Realigned exuding secured line
26,Chevrolet,4445.73,Monitored global groupware
27,Pontiac,8411.54,Balanced empowering leverage
28,Porsche,7643.18,Compatible non-volatile orchestration
29,Toyota,696.52,De-engineered zero defect architecture
30,Buick,8342.38,Digitized bandwidth-monitored access
31,Spyker,1894.21,Right-sized holistic algorithm
32,Plymouth,3440.38,Ergonomic background support
33,Dodge,7875.43,Cross-group client-server neural-net
34,BMW,5159.69,Assimilated mobile website
35,Honda,1427.8,Organized content-based ability
36,Mazda,5409.46,Programmable contextually-based extranet
37,Chevrolet,3561.63,Synergized attitude-oriented protocol
38,Pontiac,3594.02,Integrated composite forecast
39,Mercedes-Benz,2925.61,Phased well-modulated function
40,Chrysler,4652.99,Assimilated fault-tolerant intranet
41,BMW,4431.05,Grass-roots object-oriented methodology
42,Nissan,5342.95,Expanded upward-trending architecture
43,Toyota,8419.1,Switchable optimal ability
44,Suzuki,5621.08,Reduced bandwidth-monitored function
45,Mazda,9112.23,Expanded dynamic concept
46,Nissan,8851.29,Balanced optimal pricing structure
47,Subaru,5245.49,Polarised impactful throughput
48,Pontiac,6181.74,Multi-channelled transitional complexity
49,Audi,3392.96,Reactive full-range alliance
50,Bentley,7223.09,Pre-emptive mission-critical matrix
51,Mercedes-Benz,9170.53,Ergonomic impactful focus group
52,Ford,4952.43,Intuitive full-range definition
53,Ford,1039.96,Business-focused grid-enabled complexity
54,Subaru,5744.9,Optimized systematic encoding
55,Jeep,7385.07,Expanded optimal secured line
56,Hyundai,2752.82,Cross-group needs-based success
57,Toyota,6997.8,Persevering intermediate time-frame
58,Jaguar,6084.46,Fully-configurable exuding task-force
59,Acura,9916.19,Synchronised attitude-oriented pricing structure
60,Acura,9837.42,Distributed system-worthy synergy
61,Honda,9433.85,Advanced reciprocal monitoring
62,Hyundai,3382.81,Robust interactive info-mediaries
63,Lexus,374.54,Optimized even-keeled portal
64,Ford,8390.82,Optimized multi-state workforce
65,Lotus,3493.05,Exclusive national process improvement
66,Acura,2969.56,Business-focused modular workforce
67,Toyota,8096.18,Seamless optimizing adapter
68,Suzuki,1369.51,Adaptive optimizing pricing structure
69,Dodge,5450.49,Down-sized multi-tasking protocol
70,Dodge,3894.5,Monitored motivating complexity
71,BMW,9478.65,Right-sized system-worthy adapter
72,Ford,5693.81,Upgradable full-range policy
73,Dodge,5530.74,Implemented object-oriented knowledge base
74,Buick,4892.96,Customer-focused dynamic capability
75,Mercury,1094.15,Advanced web-enabled frame
76,BMW,4949.56,Pre-emptive logistical hardware
77,Chrysler,4902.4,Total attitude-oriented flexibility
78,Lamborghini,6151.23,Exclusive leading edge monitoring
79,Saturn,5991.49,Profound neutral orchestration
80,Chrysler,3866.39,Ergonomic tangible budgetary management
81,Aston Martin,4606.81,User-friendly leading edge implementation
82,Volvo,4409.21,Universal object-oriented neural-net
83,Aston Martin,3790.21,Seamless web-enabled info-mediaries
84,Mazda,9605.98,Profit-focused value-added benchmark
85,Chevrolet,8931.11,Implemented 6th generation time-frame
86,Lotus,4744.36,Total didactic productivity
87,Mitsubishi,2032.29,Business-focused bi-directional website
88,Kia,3077.41,Down-sized motivating structure
89,Geo,1107.0,Focused discrete concept
90,Porsche,2049.82,Distributed uniform internet solution
91,GMC,1198.0,Adaptive foreground data-warehouse
92,Maserati,4196.0,Synchronised disintermediate firmware
93,Honda,3708.93,Public-key systemic help-desk
94,GMC,8617.24,Streamlined leading edge extranet
95,Subaru,8156.98,Managed impactful open architecture
96,Bentley,4593.3,Innovative static intranet
97,Dodge,9385.95,Expanded secondary help-desk
98,Audi,3343.41,Fully-configurable interactive flexibility
99,Subaru,5846.87,Multi-channelled coherent leverage
100,Mercury,9000.78,Reverse-engineered upward-trending project
101,Dodge,1772.58,Reverse-engineered zero defect parallelism
102,Chrysler,7218.33,Public-key discrete customer loyalty
103,Honda,5717.91,Adaptive object-oriented info-mediaries
104,BMW,9729.75,Optimized global flexibility
105,Ford,8767.29,Persistent maximized secured line
106,Mercedes-Benz,9259.97,Re-contextualized encompassing success
107,Saturn,3880.37,Stand-alone composite time-frame
108,Lotus,5672.96,Organized directional attitude
109,Lexus,7815.65,Adaptive zero administration intranet
110,Subaru,9766.59,Total scalable budgetary management
111,BMW,4956.06,Distributed national solution
112,Aston Martin,7536.98,Re-contextualized cohesive moderator
113,Toyota,8971.37,Phased real-time matrices
114,Honda,1037.19,Right-sized bi-directional extranet
115,Mercury,9814.47,Inverse multi-state local area network
116,Toyota,156.92,Assimilated 6th generation adapter
117,Acura,7170.27,Phased radical support
118,Chevrolet,7255.02,Integrated responsive functionalities
119,Subaru,7859.67,Automated content-based synergy
120,Acura,4455.43,Cross-group solution-oriented monitoring
121,Mitsubishi,4388.94,Diverse 5th generation open system
122,Lexus,1453.27,Triple-buffered neutral circuit
123,Chevrolet,4954.3,Persevering multi-state initiative
124,Porsche,8304.63,Reverse-engineered next generation moratorium
125,Chevrolet,3004.88,Multi-channelled user-facing benchmark
126,Mitsubishi,8175.34,Profit-focused human-resource time-frame
127,Audi,6473.38,Open-architected cohesive process improvement
128,Lincoln,1875.28,Open-source zero tolerance toolset
129,Mitsubishi,7662.23,Fundamental grid-enabled artificial intelligence
130,Chevrolet,2155.96,Advanced solution-oriented definition
131,Dodge,8724.65,Robust regional infrastructure
132,Saab,7794.04,Stand-alone mobile protocol
133,Chevrolet,4377.16,Compatible content-based function
134,Ford,9722.38,Customizable coherent toolset
135,Mercedes-Benz,6512.21,Distributed national encryption
136,Hyundai,1945.1,Persistent asynchronous strategy
137,Volkswagen,6563.81,Operative incremental pricing structure
138,Volvo,5576.74,Digitized client-server protocol
139,Audi,9891.69,Versatile demand-driven firmware
140,Mercedes-Benz,7743.88,Quality-focused human-resource collaboration
141,Mazda,7461.66,Advanced bandwidth-monitored framework
142,Nissan,9877.95,Organic value-added architecture
143,GMC,4419.35,Synchronised clear-thinking utilisation
144,Chevrolet,9210.63,User-centric human-resource middleware
145,Cadillac,6938.6,Reverse-engineered cohesive capacity
146,Hyundai,8218.49,Business-focused multimedia project
147,GMC,6677.51,Ameliorated system-worthy flexibility
148,Oldsmobile,4648.38,Programmable motivating Graphical User Interface
149,Lincoln,2993.47,Balanced multimedia artificial intelligence
150,Ford,1501.96,Polarised hybrid software
151,Mitsubishi,2905.47,De-engineered transitional extranet
152,Pontiac,816.28,Expanded 24/7 hub
153,Audi,1069.89,Organized transitional frame
154,Hyundai,606.59,Down-sized optimal process improvement
155,Oldsmobile,2100.25,Progressive impactful task-force
156,Lexus,8943.25,Operative needs-based installation
157,Pontiac,4292.41,Secured transitional capability
158,Volvo,8659.56,Secured asymmetric core
159,Volkswagen,5556.75,Function-based 24 hour adapter
160,Pontiac,8313.27,Business-focused non-volatile capacity
161,Mazda,3366.62,Cross-group national utilisation
162,Bentley,2033.0,Advanced content-based help-desk
163,Mitsubishi,4786.99,User-centric 5th generation moderator
164,Mazda,1470.64,Progressive leading edge time-frame
165,Dodge,8388.49,Reverse-engineered fault-tolerant capacity
166,Saturn,2018.63,Multi-layered dynamic project
167,Subaru,5211.48,Phased actuating secured line
168,Dodge,653.15,Re-engineered holistic policy
169,Nissan,9265.08,Mandatory 6th generation array
170,Dodge,5379.53,Phased didactic migration
171,Hyundai,5945.84,Persistent regional benchmark
172,Kia,3169.64,Up-sized hybrid definition
173,Chevrolet,5791.6,Organic even-keeled application
174,Lexus,4149.72,Integrated cohesive hierarchy
175,Oldsmobile,7548.15,Open-architected demand-driven internet solution
176,Kia,2642.97,Exclusive national application
177,Audi,1471.52,Enhanced cohesive functionalities
178,Rolls-Royce,7350.58,Sharable motivating groupware
179,Volvo,936.74,Centralized human-resource knowledge user
180,Chrysler,3364.19,Distributed object-oriented core
181,Toyota,3913.2,Networked scalable emulation
182,Pontiac,9024.82,Re-contextualized clear-thinking implementation
183,Nissan,3138.9,Ameliorated clear-thinking infrastructure
184,Dodge,5914.63,Operative incremental productivity
185,Ford,2331.25,Virtual logistical concept
186,Bentley,8211.88,Devolved systemic secured line
187,GMC,1304.39,Sharable explicit productivity
188,Toyota,240.45,Innovative secondary approach
189,Honda,2493.9,Triple-buffered 24 hour task-force
190,Oldsmobile,6146.93,Team-oriented full-range service-desk
191,Suzuki,8428.17,Advanced asymmetric artificial intelligence
192,Toyota,7254.69,Sharable asynchronous budgetary management
193,Cadillac,8308.17,Implemented upward-trending approach
194,Lincoln,758.19,Monitored systemic budgetary management
195,Nissan,2526.06,Phased analyzing firmware
196,Ford,5795.37,Robust local initiative
197,Mazda,2738.0,Distributed object-oriented product
198,Ford,6080.28,Front-line dynamic archive
199,Porsche,8080.37,Extended dedicated focus group
200,Volkswagen,630.32,De-engineered bi-directional frame
201,Saturn,4016.48,Team-oriented high-level success
202,Mitsubishi,1667.97,Visionary 5th generation frame
203,Land Rover,7079.46,Enhanced discrete project
204,Mazda,2603.25,Sharable needs-based help-desk
205,Lincoln,6741.49,Exclusive 6th generation application
206,Mitsubishi,3576.91,Realigned tertiary projection
207,Mazda,4881.38,Vision-oriented motivating productivity
208,Aston Martin,7291.27,Diverse modular architecture
209,Lexus,6948.54,Grass-roots bifurcated portal
210,Buick,7145.02,Adaptive real-time instruction set
211,Kia,5685.01,Advanced transitional open architecture
212,Acura,8746.95,Integrated logistical groupware
213,Chevrolet,5988.95,Upgradable 4th generation groupware
214,Chevrolet,5696.58,Robust even-keeled artificial intelligence
215,Volvo,922.84,Networked upward-trending portal
216,Ford,3905.08,Profit-focused mobile model
217,Cadillac,3947.92,Synergized heuristic encoding
218,GMC,7837.76,Realigned mobile collaboration
219,Corbin,4611.45,Versatile bottom-line workforce
220,Mazda,7177.6,Reduced intangible model
221,Acura,7856.34,Down-sized object-oriented challenge
222,Chevrolet,8669.75,Polarised 24 hour success
223,Porsche,1624.47,Programmable directional core
224,GMC,4572.99,Persevering next generation definition
225,GMC,8547.88,Centralized intangible groupware
226,BMW,2761.09,Fully-configurable human-resource alliance
227,Volvo,7213.14,Integrated reciprocal migration
228,Aston Martin,3955.08,Face to face user-facing infrastructure
229,Chevrolet,8426.64,Decentralized incremental database
230,Chrysler,1989.3,Synchronised even-keeled middleware
231,Suzuki,1619.02,Function-based context-sensitive open architecture
232,Mercury,7745.93,Cloned 24 hour standardization
233,Chevrolet,9812.79,Integrated multi-state internet solution
234,Nissan,1743.14,Streamlined foreground groupware
235,Dodge,1077.41,Synchronised dynamic open system
236,Nissan,6033.73,Secured tangible instruction set
